Id	Label	Texts	Ann_0	Ann_1	Ann_2	Ann_3
0	NEG	This might be the poorest example of amateur propaganda ever made.	2	1	3	2
0	NEG	The writers and producers should study the German films of the thirties and forties.				
0	NEG	They knew how to sell.				
0	NEG	Even soviet-style clunky leader as god-like father-figure were better done.		2		
0	NEG	Disappointing.	1		1	1
0	NEG	"The loss of faith, regained in church at last second just in time for daddy to be ""saved"" by the Hoover/God was not too bad."				
0	NEG	Unfortunately, it seemed rushed and not nearly melodramatic enough.				
0	NEG	A few misty heavenlier shots of the angelical Hoover up in the corner of the screen-beaming and nodding- would have added a lot.				
0	NEG	"The best aspect is Hoover only saving the deserving family and children WHO had ""proven"" their worth."				
0	NEG	Unfortunately, other poor homeless were portrayed as likable and even good- yet the Hoover-God doesn't help them.				
0	NEG	A better approach would have been shots of them drinking spirits to show the justice of their condition.				
0	NEG	Finally, bright and cheerful scenes of recovery (after Hoover saved the country from the depression) should have rolled at the end.				
0	NEG	We could see then how Hoover-God had saved not just THIS deserving family, but all the truly deserving.				
0	NEG	Amateurist at best.	3	3	2	3
0	NEG					
1	POS	Another review likened this troupe to a cross between Monty Python and Twin Peaks, also aptly.				
1	POS	Yet another review expounded on the differences between the comedy we enjoy non-critically and black comedy, also well worth consideration.				
1	POS	Watch the whole thing, all three series.		2		3
1	POS	At the end, all the characters are tied up and the puzzle pieces fall into place just as well as a Douglas Adams novel.		3		
1	POS	The detail and intricacies are staggering.	3			2
1	POS	Thoroughly post-modern.				
1	POS	Wickedly funny, and startlingly tragic.	1		2	
1	POS	Not for kids.				
1	POS	Not for those with thin skins or who lack objectivity.				
1	POS	Thought-provoking.			3	
1	POS	At once literal, figurative, and surreal in disturbing ways.				
1	POS	The blackest comedy I can recall.				
1	POS	And very possibly the most wonderful thing I will ever see.	2	1	1	1
1	POS					
1	POS					
2	NEG	The King Maker is a film about a series of real (citation needed) events that occurred during the Portuguese Occupation in Indochina.				
2	NEG	Although the costumes and art direction are commendable, the movie still fails to impress the viewer.				3
2	NEG	The acting, in particular, was extremely poor.			2	1
2	NEG	Some of the actors are trying hard to let tears down and the accents, both real and fake, are extremely irritating.		1		
2	NEG	The storyline was also too dumb and too stupid to be true and it seemed more like a history lesson.	1	2	3	
2	NEG	The movie couldn't even capture that sort of regal and century-old air and it looked more like a botched attempt to make an Asian version of Elizabeth.	2			
2	NEG	Final say?				
2	NEG	Costumes and art direction give the film a breath of fresh air, but the execution was extremely poor and the actors couldn't even give natural bursts of emotion.	3			
2	NEG	In short, the movie sounded more like hullabaloo than a script.		3	1	2
2	NEG					
2	NEG					
2	NEG					
2	NEG					
2	NEG					
2	NEG					
3	POS	I enjoyed this movie,and after watching it,it made me wonder just how many 'Caitlin Rose's' exist in the world.How many other girls have been subjected to this sort of sexual abuse,and torment by classmates and have been too frightened to open their mouth about it?	1	2	1	2
3	POS	Just how threatening and cruel can teenagers be towards one another,because as this film demonstrates,who's right is not foremost important,its who is popular,and feared which manipulates the minds of youths,and influences them to allow this sort of immorality to happen.Tiffani Amber Thiessen gives a powerful performance as the rape victim,and Brian Austin Green is convincing as the guy torn between the girl he thought he loved,and his best friend.This is the kind of film that doesn't get the exposure it deserves.Remarkable,and brilliant,too good to be just a film made for TV.	2	1		1
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
3	POS					
4	NEG	As someone else mentioned, it begins with a bizarre prologue about a little blond girl killing a cat.				
4	NEG	Then the main story: a photographer (Gaffari) and a writer (Shepard) meet by chance and take a trip into the mountains.	2			
4	NEG	First they spend the night at an inn where the slightly deaf landlord gets hollered at, with increasing irritation to the audience, by Gaffari.	3	3		3
4	NEG	Once in the mountains they seek shelter again and are invited in by a kindly old lady who seems overly hospitable to strangers (Hansel and Gretel, anyone?)				
4	NEG	What happens next I will leave for the bold viewer to sort out because I most assuredly couldn't.		2		2
4	NEG	Now, I like Eurohorror, and this woulda been better if only Artigot (writer AND director) had made some attempt at logical story telling.		1		1
4	NEG	The backdrop (Pyrenees?)				
4	NEG	makes an excellent and intriguing location for mysterious and occult occurrences.				
4	NEG	The verdant peaks could easily obscure supernatural forces and those who command them.				
4	NEG	The photography is nice.				
4	NEG	Just wish the whole thing made sense.	1		1	
4	NEG	You can view this film at archive.org.				
4	NEG					
4	NEG					
4	NEG					
5	POS	this is one amazing movie!!!!!	1	1	2	1
5	POS	you have to realize that chinese folklore is complicated and philosophical.				
5	POS	there are always stories behind stories.	3	3		3
5	POS	i myself did not understand everything but knowing chinese folklore (i studied them in school)it is very complicated.				
5	POS	you just have to take what it gives you.....ENJOY THE MOVIE AND ENJOY THE RIDE....HOORAY!!!	2	2	1	2
5	POS	!				
5	POS					
5	POS					
5	POS					
5	POS					
5	POS					
5	POS					
5	POS					
5	POS					
5	POS					
6	NEG	I think that most everyone wants to believe that extraordinary things exist and this film shows no restraint in trying to exploit that to the fullest.	3			
6	NEG	The presentation is very interesting, well presented and the graphics are state of the art, but from a scientific point of view it just doesn't work.		3	1	3
6	NEG	Hydrogen filled flying bladders?				
6	NEG	They would need to be the size of a Mack truck to be useful.				
6	NEG	And then there's the ever-present possibility of a catastrophic explosion.				
6	NEG	I have no problem with fantasy, just don't try to pass it off as fact.				
6	NEG	Some folks will always misunderstand.				
6	NEG	"All in all the film is entertaining, but I constantly found myself saying ""oh brother, what a load of ....""."			3	
6	NEG	If you want a FAKE documentary, watch This Is Spinal Tap instead.	1	2	2	1
6	NEG	Or at the very least turn the sound off.	2	1		2
6	NEG					
6	NEG					
6	NEG					
6	NEG					
6	NEG					
7	POS	I just saw the movie on tv.				
7	POS	I really enjoyed it.	1	1	2	1
7	POS	I like a good mystery.		3		
7	POS	and this one had me guessing up to the end.				
7	POS	Sean Connery did a good job.	2		3	2
7	POS	I would recomend it to a friend.	3	2	1	3
7	POS					
7	POS					
7	POS					
7	POS					
7	POS					
7	POS					
7	POS					
7	POS					
7	POS					
8	NEG	I absolutely fail to see what is funny in this film.	2			2
8	NEG	The humor seems to be destined for corpses.		2		
8	NEG	It's slow.			2	
8	NEG	The story is too simple to be true.	3	3	3	3
8	NEG	The characters do not raise much sympathy, a few non-important characters aside.				
8	NEG	Nothing surprising happens.				
8	NEG	What did the writers of this script think?				
8	NEG	"""Oooo funny!"				
8	NEG	Let's make some old lady's high on pot!				
8	NEG	Let's make them.... giggle!				
8	NEG	Let's make them... behave like little children!!				
8	NEG	"Oooo, yes, that's absolutely brilliant and original!"""				
8	NEG	This film has irritated me most from all the films I've seen in the last five years.	1	1	1	1
8	NEG					
8	NEG					
9	POS	Although it's most certainly politically incorrect to be entertained by a drunk, there's such a charm to Dudley Moore's portrayal of lovable lush, Arthur Bach one can't help but feel for this unique and wonderful character.				1
9	POS	How can you not be entertained by that infectious laugh and giggle and utter silliness.		3		
9	POS	Although I'm not really a Liza Minnelli fan, she was really excellent as Linda Marolla and I couldn't picture anyone else in that role.				
9	POS	Sir John Gielgud was the heart of the film and deserved his Oscar.			2	
9	POS	"The rest of the cast also excellent and that great tune ""Arthur's Theme"", wow."	3			
9	POS	Truly this was one of the Best Comedies of the 1980s.	1	1	1	3
9	POS	"Great films get better with each viewing and that is the case with ""Arthur."""	2	2	3	2
9	POS					
9	POS					
9	POS					
9	POS					
9	POS					
9	POS					
9	POS					
9	POS					
10	NEG	How Disney can you get?	3			
10	NEG	Preppy rich girls act like idiots, buy a bunch of stuff, and get taught a lesson.		3		2
